zip_code;label
8130;alland huy et sausseuil
88110;allarmont
17150;allas bocage
17500;allas champagne
24220;allas les mines
19240;allassac
13190;allauch
13190;allauch
43270;allegre
30500;allegre les fumades
13980;alleins
13980;alleins
4500;allemagne en provence
51260;allemanche launay et soyer
24600;allemans
47800;allemans du dropt
51120;allemant
2320;allemant
38114;allemond
80130;allenay
48190;allenc
25490;allenjoie
59251;allennes les marais
21230;allerey
71350;allerey sur saone
71380;alleriot
80270;allery
24480;alles sur dordogne
15100;alleuze
38580;allevard
74540;alleves
26400;allex
43150;alleyrac
43580;alleyras
23200;alleyrat
19200;alleyrat
47110;allez et cazeneuve
51250;alliancelles
9400;alliat
10700;allibaudieres
52130;allichamps
65360;allier
9240;allieres
58200;alligny cosne
58230;alligny en morvan
22460;allineuc
74200;allinges
18110;allogny
79110;alloinay
79110;alloinay
79190;alloinay
25550;allondans
73200;allondaz
54260;allondrelle la malmaison
79130;allonne
60000;allonne
28150;allonnes
72700;allonnes
49650;allonnes
4170;allons
47420;allons
80260;allonville
74350;allonzier la caille
74350;allonzier la caille
4260;allos
4260;allos
62157;allouagne
16490;alloue
18500;allouis
76190;allouville bellefosse
58110;alluy
28800;alluyes
15700;ally
15700;ally
43380;ally
81190;almayrac
61570;almeneches
12300;almont les junies
9200;alos
81140;alos
64470;alos sibas abense
21420;aloxe corton
62850;alquines
12430;alrance
57515;alsting
20112;altagene
67270;alteckendorf
68210;altenach
67490;altenheim
84210;althen des paluds
20251;altiani
48800;altier
19120;altillac
68130;altkirch
67120;altorf
57660;altrippe
57730;altviller
67260;altwiller
71510;aluze
46500;alvignac
76640;alvimare
9240;alzen
20212;alzi
57320;alzing
30770;alzon
11170;alzonne
70280;amage
8300;amagne
25220;amagney
79350;amailloux
70160;amance
54770;amance
10140;amance
25330;amancey
74800;amancy
39700;amange
35150;amanlis
55130;amanty
98790;amanu
57865;amanvillers
71800;amanze
81170;amarens
98752;amaru
25330;amathay vesigneux
14210;amaye sur orne
14310;amaye sur seulles
58190;amazy
88500;ambacourt
33440;ambares et lagrave
31230;ambax
87240;ambazac
38970;ambel
27250;ambenay
16140;amberac
1500;amberieu en bugey
69480;amberieux d azergues
1330;amberieux en dombes
16490;ambernac
86110;amberre
63600;ambert
33810;ambes
12260;ambeyrac
81430;ambialet
20151;ambiegna
42820;ambierle
70210;ambievillers
37340;ambillou
74100;ambilly
60110;amblainville
70200;amblans et velotte
2290;ambleny
1300;ambleon
62164;ambleteuse
95420;ambleville
95710;ambleville
41310;ambloy
8130;ambly fleury
55300;ambly sur meuse
37400;amboise
56190;ambon
26800;ambonil
51150;ambonnay
52110;ambonville
36120;ambrault
81500;ambres
62310;ambricourt
2200;ambrief
51290;ambrieres
53300;ambrieres les vallees
53300;ambrieres les vallees
62127;ambrines
1500;ambronay
19250;ambrugeat
76550;ambrumesnil
47160;ambrus
1500;ambutrix
27140;amecourt
55230;amel sur l etang
57170;amelecourt
66110;amelie les bains palalda
64120;amendeuix oneix
54450;amenoncourt
95510;amenucourt
62190;ames
62260;amettes
71460;ameugny
88410;ameuvelle
14860;amfreville
76920;amfreville la mi voie
27380;amfreville les champs
76560;amfreville les champs
27380;amfreville sous les monts
27370;amfreville st amand
27370;amfreville st amand
27400;amfreville sur iton
59144;amfroipret
80000;amiens
80080;amiens
80090;amiens
2190;amifontaine
50620;amigny
2700;amigny rouy
77120;amillis
45200;amilly
28300;amilly
6910;amirat
68770;ammerschwihr
68410;ammerschwihr
72540;amne
57360;amneville les thermes
57360;amneville les thermes
70170;amoncourt
25330;amondans
70310;amont et effreney
64120;amorots succos
40330;amou
21400;ampilly le sec
